Source,Target
0,1
0,2
0,3
0,4
0,5
0,7
0,8
0,11
0,15
0,16
0,17
0,18
0,19
0,23
0,25
0,27
0,31
0,32
0,33
0,34
0,42
0,46
0,48
0,50
0,51
0,63
0,64
0,66
0,79
0,83
0,125
0,129
0,130
0,140
0,143
0,163
0,167
0,187
0,197
0,201
0,202
0,218
0,250
0,252
0,254
0,257
0,260
0,265
0,269
0,273
0,278
0,305
0,327
0,343
0,375
0,376
0,377
0,383
0,390
0,440
0,500
0,503
0,504
0,505
0,510
0,515
0,519
0,531
0,534
0,546
0,565
0,625
0,626
0,629
0,634
0,648
0,659
0,677
0,680
0,687
0,688
0,706
0,750
0,761
0,765
0,771
0,774
0,781
0,855
0,876
0,898
1,2
1,3
1,4
1,5
1,6
1,9
1,10
1,17
1,23
1,32
1,50
1,128
1,132
1,250
1,253
1,263
1,324
1,500
1,501
1,503
1,505
1,507
1,515
1,516
1,531
1,565
1,625
1,644
1,752
1,771
1,797
2,7
2,15
2,29
2,32
2,62
2,125
2,126
2,130
2,165
2,190
2,265
2,267
2,273
2,282
2,500
2,504
2,548
2,629
3,5
3,6
3,11
3,16
3,23
3,31
3,34
3,53
3,68
3,69
3,109
3,125
3,128
3,130
3,132
3,250
3,253
3,265
3,266
3,271
3,281
3,285
3,327
3,352
3,398
3,410
3,500
3,501
3,503
3,504
3,505
3,508
3,511
3,514
3,516
3,517
3,521
3,565
3,593
3,628
3,644
3,704
3,750
3,761
4,5
4,6
4,16
4,31
4,125
4,127
4,128
4,264
4,266
4,500
4,503
4,551
4,570
4,757
4,892
4,940
5,67
5,125
5,132
5,376
5,393
5,500
5,502
5,506
5,519
5,647
5,652
5,656
5,709
5,765
5,858
5,889
6,20
6,24
6,25
6,140
6,160
6,261
6,519
6,530
6,815
7,17
7,18
7,20
7,23
7,24
7,25
7,32
7,125
7,132
7,138
7,148
7,250
7,375
7,502
7,503
7,504
7,511
7,512
7,516
7,520
7,525
7,531
7,562
7,563
7,649
7,658
7,659
7,672
7,675
7,694
7,702
7,788
8,15
8,31
8,45
8,54
8,59
8,126
8,132
8,167
8,210
8,217
8,500
8,503
8,505
8,513
8,625
9,17
9,25
9,26
9,44
9,56
9,149
9,258
9,275
9,520
9,524
9,525
9,531
9,648
10,17
10,71
10,503
10,511
10,536
10,758
10,761
11,15
11,29
11,132
11,386
11,402
11,503
11,626
12,34
12,46
12,58
12,152
12,500
12,505
12,508
12,514
13,15
13,23
13,33
13,103
13,275
13,507
13,508
13,630
13,638
13,758
13,763
14,62
14,517
14,539
14,635
14,767
14,827
15,19
15,20
15,31
15,34
15,35
15,46
15,54
15,62
15,78
15,87
15,156
15,157
15,187
15,202
15,376
15,503
15,515
15,516
15,527
15,531
15,546
15,547
15,550
15,552
15,564
15,575
15,580
15,597
15,625
15,631
15,633
15,635
15,640
15,642
15,657
15,687
15,690
15,700
15,754
15,755
15,895
15,899
16,18
16,19
16,20
16,27
16,30
16,31
16,32
16,50
16,62
16,65
16,67
16,82
16,125
16,126
16,140
16,146
16,266
16,381
16,500
16,501
16,516
16,556
16,625
16,626
16,636
16,640
16,648
16,751
16,791
17,19
17,20
17,48
17,63
17,179
17,193
17,516
17,632
17,650
17,656
17,687
18,21
18,30
18,34
18,126
18,140
18,200
18,304
18,408
18,501
18,642
18,750
19,22
19,31
19,33
19,49
19,125
19,132
19,159
19,202
19,250
19,255
19,375
19,500
19,501
19,503
19,515
19,540
19,563
19,628
19,640
19,647
19,648
19,691
19,771
19,881
19,894
20,24
20,77
20,256
20,265
20,301
20,500
20,502
20,515
20,569
20,595
20,750
20,759
20,771
21,88
21,150
21,152
21,176
21,254
21,290
21,500
21,501
21,504
21,517
21,523
21,646
21,660
22,25
22,47
22,56
22,188
22,501
22,720
22,771
23,26
23,264
23,502
23,511
23,515
23,519
23,521
23,652
23,713
23,757
23,765
23,769
23,880
24,77
24,132
24,144
24,266
24,515
25,625
25,750
25,772
25,796
25,875
26,64
27,132
27,136
27,511
27,512
27,532
27,554
27,601
27,649
27,944
27,949
28,125
28,262
28,500
28,508
28,537
28,812
29,42
29,99
29,143
29,512
31,32
31,33
31,35
31,50
31,77
31,91
31,99
31,114
31,125
31,132
31,142
31,156
31,158
31,176
31,254
31,255
31,269
31,272
31,281
31,283
31,338
31,406
31,468
31,501
31,506
31,516
31,517
31,523
31,539
31,552
31,598
31,600
31,625
31,633
31,640
31,656
31,767
31,875
31,876
32,33
32,40
32,144
32,383
32,500
32,513
32,519
32,520
32,534
32,888
32,937
33,117
33,144
33,162
33,376
34,36
34,65
34,71
34,125
34,156
34,194
34,302
34,368
34,422
34,500
34,502
34,535
34,540
34,646
35,48
35,65
35,128
35,132
35,174
35,253
35,271
35,503
35,504
35,527
35,539
36,47
36,408
36,500
36,619
36,750
36,768
37,750
38,96
38,399
38,625
38,649
39,130
39,159
39,632
39,931
40,132
40,258
40,504
40,529
41,204
41,282
42,61
42,132
42,218
42,238
42,258
42,738
42,855
43,260
43,628
44,165
44,166
44,183
44,263
44,626
45,504
46,62
46,128
46,148
46,284
46,391
46,406
46,500
46,503
46,506
46,520
46,524
46,625
47,140
47,394
47,437
47,517
47,844
47,906
48,85
48,134
48,141
48,500
48,517
48,536
48,547
48,562
49,393
49,535
49,582
50,150
50,502
50,521
50,778
51,146
51,378
52,54
52,142
52,296
52,422
52,637
52,648
53,58
53,127
53,548
54,281
54,507
56,164
56,171
56,204
56,226
56,274
56,753
57,560
58,163
59,140
60,149
62,64
62,74
62,84
62,88
62,100
62,110
62,147
62,187
62,202
62,278
62,438
62,440
62,500
62,501
62,506
62,512
62,562
62,563
62,565
62,566
62,577
62,578
62,593
62,597
62,698
62,702
62,706
62,750
62,757
62,815
62,882
63,81
63,87
63,93
63,125
63,190
63,426
63,500
63,577
63,579
63,582
63,765
64,128
64,208
64,250
64,500
64,562
64,579
64,625
64,704
65,77
65,128
65,187
65,204
65,281
65,282
65,317
65,323
65,329
65,500
65,501
65,503
65,523
65,546
65,562
65,567
65,572
65,738
65,878
66,531
66,556
66,597
66,609
66,691
67,75
67,231
67,438
67,517
67,562
67,567
67,628
67,690
67,721
68,188
68,316
69,72
69,73
69,97
69,357
69,500
69,559
69,569
69,625
70,196
71,330
71,521
71,529
71,566
72,194
72,198
73,74
73,206
73,324
73,625
74,126
74,507
75,313
75,521
75,573
75,694
75,718
77,81
77,89
77,99
77,125
77,206
77,255
77,508
77,516
77,522
77,547
77,550
77,614
77,618
77,625
77,860
77,882
78,577
79,91
79,375
79,523
79,573
79,577
79,626
79,672
80,203
80,500
80,671
81,112
81,190
81,207
81,328
81,507
81,565
82,566
82,577
83,250
83,317
83,576
84,126
85,97
85,142
85,187
85,253
85,500
85,639
85,902
85,914
86,391
86,461
86,757
87,149
87,335
87,573
88,212
88,266
89,94
89,515
91,597
93,187
93,275
93,504
93,531
93,709
93,738
94,331
94,377
94,593
94,605
95,160
95,202
95,567
95,598
95,599
95,827
