Source,Target
265,768
31,91
62,750
190,546
65,738
86,757
823,828
62,565
581,691
946,962
437,440
623,823
542,761
363,753
79,523
13,638
28,262
308,891
505,520
250,937
263,765
31,517
438,562
273,319
17,63
253,269
251,376
633,634
312,315
267,766
69,72
281,375
129,250
273,767
382,875
382,523
144,702
0,7
509,557
64,704
13,33
500,563
313,421
27,944
750,755
253,256
4,16
1,263
253,812
130,511
46,500
127,128
20,256
69,500
267,380
378,750
129,258
82,566
93,738
0,375
187,827
7,649
565,566
0,375
153,514
46,506
7,531
211,501
140,555
298,769
146,646
0,4
440,496
125,688
187,202
7,250
560,593
15,657
21,176
77,860
265,540
421,501
122,570
56,274
52,422
762,882
187,190
0,510
519,783
0,11
375,843
15,54
94,605
21,88
296,875
8,54
273,800
21,88
216,331
375,625
2,125
277,351
339,509
1,17
7,24
0,17
301,751
265,540
157,406
190,539
93,504
500,533
520,528
3,511
88,266
81,565
273,757
202,214
562,696
452,894
171,644
71,330
250,307
767,932
506,644
9,520
160,193
384,764
150,531
36,408
62,278
87,335
0,257
125,644
511,562
3,516
331,503
525,640
32,383
95,567
577,626
43,628
570,697
22,188
409,782
132,508
160,503
9,520
83,317
250,394
67,75
43,260
65,503
252,341
468,972
126,505
14,767
152,554
253,270
328,787
798,925
250,751
331,503
13,275
40,529
391,532
452,894
143,752
46,406
187,459
94,331
150,779
8,513
0,383
3,11
263,769
9,26
1,797
20,502
145,301
253,270
3,253
319,763
437,445
93,275
3,511
16,146
254,750
34,540
265,516
750,789
42,738
18,126
65,503
12,500
9,258
250,937
75,573
156,539
755,784
127,255
53,127
187,828
312,313
0,42
4,551
2,7
139,293
35,253
382,569
391,532
0,218
3,53
31,875
521,547
421,768
190,539
578,696
10,511
128,678
1,515
501,577
516,626
140,552
569,697
4,264
808,932
254,773
279,562
7,511
89,94
8,126
18,21
260,750
0,680
32,144
379,828
258,890
816,880
83,250
94,605
65,282
266,766
125,159
95,827
265,519
97,125
46,391
35,271
125,421
69,500
62,563
659,696
253,751
63,87
15,552
760,875
23,880
20,265
511,569
375,843
187,500
145,515
151,764
77,550
301,750
38,625
3,644
10,503
616,845
15,546
252,257
138,523
132,503
515,812
31,32
13,33
0,273
503,546
277,312
3,53
270,376
4,757
19,691
13,638
24,77
275,328
48,517
144,937
94,593
35,48
31,176
0,254
458,751
144,503
152,554
265,375
363,753
8,15
312,945
45,504
500,750
750,816
31,91
63,125
181,281
62,187
0,17
15,46
3,514
56,171
523,753
77,99
36,500
250,755
125,630
628,641
0,750
250,628
203,515
18,408
56,274
0,46
501,577
79,375
0,16
9,520
9,26
0,17
4,264
271,394
501,939
31,406
237,393
520,528
562,687
31,114
437,440
313,861
74,507
3,503
125,516
125,141
375,390
531,766
570,697
512,660
292,413
145,609
16,65
271,767
407,882
0,505
150,690
298,506
47,437
346,695
250,878
260,759
4,757
6,24
523,753
281,519
142,642
329,976
40,258
565,566
500,506
31,156
153,549
27,532
403,519
151,764
32,519
151,515
48,547
5,132
189,269
187,562
128,626
172,577
5,709
279,763
250,890
688,708
77,882
69,73
347,516
167,876
75,313
82,566
6,24
761,876
79,577
255,267
31,156
77,206
141,770
312,945
391,783
125,644
31,255
49,535
152,554
548,575
62,506
171,516
382,643
273,650
632,667
318,832
20,569
292,413
0,659
20,265
751,817
3,501
500,581
1,128
65,329
315,610
265,375
125,409
21,254
112,564
250,628
143,646
11,15
21,150
149,390
381,945
273,562
253,270
63,765
308,891
130,178
8,625
253,812
760,875
2,282
11,402
512,660
298,506
15,635
47,517
4,892
315,440
32,40
79,573
500,646
36,768
392,626
56,274
500,565
254,750
8,210
83,250
3,266
532,625
160,193
31,158
333,687
153,549
145,301
611,825
312,313
250,500
13,23
77,99
144,548
531,538
125,891
20,265
5,652
298,506
66,556
11,132
20,502
16,126
81,112
7,512
24,144
510,516
0,634
0,876
173,431
3,16
62,438
17,19
504,895
11,15
628,656
32,383
535,632
153,690
18,126
31,598
145,628
690,714
81,507
54,281
8,31
329,976
2,190
659,696
35,174
187,628
79,573
252,438
767,768
3,34
53,58
65,503
502,628
16,791
254,506
428,800
3,410
8,503
500,565
128,500
148,514
3,53
279,412
71,521
125,127
19,881
65,323
161,579
125,382
15,157
3,125
4,503
8,217
251,964
15,516
395,814
127,129
44,626
851,878
0,706
269,630
0,46
504,625
34,65
265,275
3,511
16,648
236,410
13,33
1,253
190,786
562,687
34,125
531,757
500,533
214,570
250,392
434,506
296,533
16,146
500,751
46,500
2,29
39,931
814,815
2,504
157,641
9,525
269,865
375,537
19,33
18,501
296,750
265,565
33,117
132,133
381,945
19,640
85,639
20,301
19,501
156,539
526,559
81,565
187,501
33,376
7,511
31,114
85,187
504,625
562,706
549,625
250,937
16,556
312,824
702,801
16,625
500,750
375,441
56,274
136,519
63,190
3,5
16,636
611,825
157,641
4,503
29,42
250,750
77,522
15,690
403,519
267,766
265,391
77,89
623,823
31,656
333,687
171,261
31,468
134,632
312,580
73,625
148,514
169,720
513,523
13,103
